No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
558,34.647,2.5869,2443.61,11.11,-3,-3,5,2
822,39.48,2.2807,2418.02,12.76,4,1,9,2
190,23.893,3.7213,2411.69,7.42,0,-3,3,2
777,38.772,2.3207,2410.86,12.48,3,-4,4,2
598,35.52,2.5253,2315.42,11.11,-1,-4,6,2
711,37.652,2.3871,2299.6,11.8,4,3,3,2
491,33.021,2.7105,2259.53,10.14,4,1,5,2
434,31.889,2.804,2252.84,9.75,4,1,4,2
271,27.058,3.2928,2222.37,8.12,2,-3,2,2
698,37.499,2.3964,2161.38,11.39,-4,3,3,2
544,34.366,2.6074,2157.78,10.34,4,1,6,2
103,20.036,4.4281,2074.78,5.73,1,-2,4,2
539,34.126,2.6252,2055.37,10.02,-1,-4,5,2
85,18.375,4.8244,1971.03,5.11,-2,-1,3,2
43,15.803,5.6034,1711.78,4.08,0,-1,-5,2
14,11.124,7.9477,1623.45,2.78,1,0,-3,2
666,37.099,2.4214,1591.12,9.66,-1,-4,7,2
404,31.061,2.8769,1567.98,7.9,-3,3,1,2
84,18.375,4.8244,1548.44,4.53,0,-1,-6,2
428,31.595,2.8295,1520.68,7.93,1,4,3,2
475,32.807,2.7277,1502.45,8.21,1,-4,4,2
412,31.192,2.8651,1500.6,7.77,-4,-1,3,2
782,38.805,2.3188,1496.49,9.84,-4,-3,4,2
707,37.624,2.3888,1473.4,9.44,0,5,2,2
82,18.317,4.8395,1459.49,4.38,1,2,3,2
158,22.963,3.8698,1347.26,5.32,0,-3,2,2
671,37.134,2.4192,1334.24,8.85,4,3,2,2
708,37.628,2.3885,1332.11,8.98,4,-3,3,2
793,38.934,2.3114,1295.57,9.19,3,-3,8,2
52,16.312,5.4297,1262.29,3.62,2,-1,1,2
684,37.293,2.4092,1259.09,8.64,0,5,0,2
635,36.666,2.449,1256.65,8.47,4,-3,1,2
410,31.18,2.8662,1234.04,7.04,3,2,6,2
140,22.243,3.9934,1227.07,4.91,0,3,1,2
534,33.993,2.6352,1198.97,7.62,1,-4,5,2
97,19.736,4.4948,1185.63,4.27,-1,2,4,2
25,13.351,6.6263,1133.47,2.8,0,-1,-4,2
398,30.99,2.8833,1127.22,6.68,1,4,2,2
399,30.991,2.8832,1106.41,6.62,4,1,3,2
397,30.982,2.8841,1023.24,6.37,4,-1,3,2
614,35.966,2.495,957.98,7.24,-1,-2,11,2
814,39.329,2.2891,911.6,7.8,0,-5,4,2
784,38.845,2.3165,909.42,7.68,-1,-4,8,2
420,31.387,2.8478,897.91,6.05,3,0,8,2
771,38.624,2.3292,897.75,7.59,3,4,4,2
147,22.364,3.9722,806.06,4,0,-3,1,2
662,37.035,2.4254,765.71,6.69,4,-3,2,2
723,37.969,2.3679,739.1,6.75,-1,5,0,2
772,38.63,2.3289,682.95,6.62,-1,-2,12,2
430,31.697,2.8206,635.61,5.14,-3,-2,6,2
307,28.489,3.1306,628.68,4.56,2,2,7,2
483,32.936,2.7173,586.63,5.15,-1,-4,4,2
686,37.33,2.4069,549.59,5.72,-3,-2,9,2
372,30.345,2.9432,508.65,4.39,4,1,2,2
760,38.438,2.34,489.9,5.57,4,-3,4,2
821,39.453,2.2822,399.55,5.18,4,-3,5,2
